10	X	Y	Z	200	X	Y	Z	
96	5.36191e-07	-2.12637e-07	-0.00135312	96	5.65333e-07	-2.42279e-07	-0.000447173	
97	5.36191e-07	-2.12638e-07	-0.00135312	97	5.65333e-07	-2.42279e-07	-0.000447173	
98	5.3619e-07	-2.12638e-07	-0.00135312	98	5.65333e-07	-2.42279e-07	-0.000447173	
99	5.3619e-07	-2.12637e-07	-0.00135312	99	5.65333e-07	-2.42279e-07	-0.000447173	
100	5.3619e-07	-2.12637e-07	-0.00135312	100	5.65333e-07	-2.42279e-07	-0.000447173	
101	5.3619e-07	-2.12637e-07	-0.00135312	101	5.65333e-07	-2.42279e-07	-0.000447173	
102	5.3619e-07	-2.12637e-07	-0.00135312	102	5.65332e-07	-2.42279e-07	-0.000447173	
103	5.3619e-07	-2.12637e-07	-0.00135312	103	5.65332e-07	-2.42279e-07	-0.000447173	
104	5.36189e-07	-2.12637e-07	-0.00135312	104	5.65332e-07	-2.42279e-07	-0.000447173	
105	5.36189e-07	-2.12636e-07	-0.00135312	105	5.65332e-07	-2.42278e-07	-0.000447173	
106	5.36189e-07	-2.12636e-07	-0.00135312	106	5.65332e-07	-2.42278e-07	-0.000447173	
107	5.36189e-07	-2.12636e-07	-0.00135312	107	5.65332e-07	-2.42278e-07	-0.000447173	
108	5.36189e-07	-2.12636e-07	-0.00135312	108	5.65331e-07	-2.42278e-07	-0.000447173	
109	5.36188e-07	-2.12636e-07	-0.00135312	109	5.65331e-07	-2.42278e-07	-0.000447173	
110	5.36188e-07	-2.12635e-07	-0.00135312	110	5.65331e-07	-2.42277e-07	-0.000447173	
111	5.36188e-07	-2.12635e-07	-0.00135312	111	5.65331e-07	-2.42277e-07	-0.000447173	
112	5.36188e-07	-2.12635e-07	-0.00135312	112	5.65331e-07	-2.42277e-07	-0.000447173	
113	5.36187e-07	-2.12635e-07	-0.00135312	113	5.6533e-07	-2.42277e-07	-0.000447173	
114	5.36187e-07	-2.12634e-07	-0.00135312	114	5.6533e-07	-2.42276e-07	-0.000447173	
115	5.36187e-07	-2.12634e-07	-0.00135312	115	5.6533e-07	-2.42276e-07	-0.000447173	
116	5.36187e-07	-2.12634e-07	-0.00135312	116	5.6533e-07	-2.42276e-07	-0.000447173	
117	5.36187e-07	-2.12634e-07	-0.00135312	117	5.65329e-07	-2.42276e-07	-0.000447173	
118	5.36186e-07	-2.12633e-07	-0.00135312	118	5.65329e-07	-2.42275e-07	-0.000447173	
119	5.36186e-07	-2.12633e-07	-0.00135312	119	5.65329e-07	-2.42275e-07	-0.000447173	
120	5.36186e-07	-2.12633e-07	-0.00135312	120	5.65329e-07	-2.42275e-07	-0.000447173	
121	5.36186e-07	-2.12633e-07	-0.00135312	121	5.65328e-07	-2.42275e-07	-0.000447173	
