10	X	Y	Z	200	X	Y	Z	
135	5.36067e-07	-2.12513e-07	0	135	5.65197e-07	-2.42138e-07	0	
136	5.36073e-07	-2.12519e-07	0	136	5.65203e-07	-2.42144e-07	0	
137	5.36078e-07	-2.12524e-07	0	137	5.65209e-07	-2.4215e-07	0	
138	5.36083e-07	-2.12529e-07	0	138	5.65215e-07	-2.42156e-07	0	
139	5.36088e-07	-2.12534e-07	0	139	5.6522e-07	-2.42162e-07	0	
140	5.36092e-07	-2.12538e-07	0	140	5.65225e-07	-2.42167e-07	0	
141	5.36097e-07	-2.12543e-07	0	141	5.6523e-07	-2.42172e-07	0	
142	5.36101e-07	-2.12547e-07	0	142	5.65235e-07	-2.42177e-07	0	
143	5.36105e-07	-2.12551e-07	0	143	5.65239e-07	-2.42181e-07	0	
144	5.36109e-07	-2.12555e-07	0	144	5.65243e-07	-2.42185e-07	0	
145	5.36112e-07	-2.12558e-07	0	145	5.65247e-07	-2.4219e-07	0	
146	5.36115e-07	-2.12562e-07	0	146	5.65251e-07	-2.42193e-07	0	
147	5.36119e-07	-2.12565e-07	0	147	5.65254e-07	-2.42197e-07	0	
148	5.36122e-07	-2.12568e-07	0	148	5.65257e-07	-2.42201e-07	0	
149	5.36124e-07	-2.12571e-07	0	149	5.65261e-07	-2.42204e-07	0	
150	5.36127e-07	-2.12574e-07	0	150	5.65264e-07	-2.42207e-07	0	
151	5.3613e-07	-2.12576e-07	0	151	5.65267e-07	-2.4221e-07	0	
152	5.36132e-07	-2.12579e-07	0	152	5.65269e-07	-2.42213e-07	0	
153	5.36135e-07	-2.12581e-07	0	153	5.65272e-07	-2.42216e-07	0	
154	5.36137e-07	-2.12583e-07	0	154	5.65274e-07	-2.42218e-07	0	
155	5.36139e-07	-2.12585e-07	0	155	5.65277e-07	-2.42221e-07	0	
156	5.36141e-07	-2.12588e-07	0	156	5.65279e-07	-2.42223e-07	0	
157	5.36143e-07	-2.12589e-07	0	157	5.65281e-07	-2.42225e-07	0	
158	5.36145e-07	-2.12591e-07	0	158	5.65283e-07	-2.42227e-07	0	
159	5.36146e-07	-2.12593e-07	0	159	5.65285e-07	-2.42229e-07	0	
160	5.36148e-07	-2.12595e-07	0	160	5.65287e-07	-2.42231e-07	0	
161	5.3615e-07	-2.12596e-07	0	161	5.65289e-07	-2.42233e-07	0	
162	5.36151e-07	-2.12598e-07	0	162	5.6529e-07	-2.42235e-07	0	
163	5.36152e-07	-2.12599e-07	0	163	5.65292e-07	-2.42236e-07	0	
164	5.36154e-07	-2.126e-07	0	164	5.65293e-07	-2.42238e-07	0	
165	5.36155e-07	-2.12602e-07	0	165	5.65295e-07	-2.42239e-07	0	
166	5.36156e-07	-2.12603e-07	0	166	5.65296e-07	-2.42241e-07	0	
167	5.36157e-07	-2.12604e-07	0	167	5.65297e-07	-2.42242e-07	0	
168	5.36158e-07	-2.12605e-07	0	168	5.65298e-07	-2.42243e-07	0	
169	5.36159e-07	-2.12606e-07	0	169	5.653e-07	-2.42244e-07	0	
170	5.3616e-07	-2.12607e-07	0	170	5.65301e-07	-2.42246e-07	0	
171	5.36161e-07	-2.12608e-07	0	171	5.65302e-07	-2.42247e-07	0	
172	5.36162e-07	-2.12609e-07	0	172	5.65303e-07	-2.42248e-07	0	
173	5.36163e-07	-2.1261e-07	0	173	5.65304e-07	-2.42249e-07	0	
174	5.36164e-07	-2.12611e-07	0	174	5.65304e-07	-2.4225e-07	0	
175	5.36165e-07	-2.12612e-07	0	175	5.65305e-07	-2.4225e-07	0	
176	5.36165e-07	-2.12612e-07	0	176	5.65306e-07	-2.42251e-07	0	
177	5.36166e-07	-2.12613e-07	0	177	5.65307e-07	-2.42252e-07	0	
178	5.36167e-07	-2.12614e-07	0	178	5.65308e-07	-2.42253e-07	0	
179	5.36167e-07	-2.12614e-07	0	179	5.65308e-07	-2.42254e-07	0	
180	5.36168e-07	-2.12615e-07	0	180	5.65309e-07	-2.42254e-07	0	
181	5.36169e-07	-2.12615e-07	0	181	5.6531e-07	-2.42255e-07	0	
182	5.36169e-07	-2.12616e-07	0	182	5.6531e-07	-2.42255e-07	0	
183	5.3617e-07	-2.12616e-07	0	183	5.65311e-07	-2.42256e-07	0	
184	5.3617e-07	-2.12617e-07	0	184	5.65311e-07	-2.42257e-07	0	
185	5.3617e-07	-2.12617e-07	0	185	5.65312e-07	-2.42257e-07	0	
186	5.36171e-07	-2.12618e-07	0	186	5.65312e-07	-2.42258e-07	0	
187	5.36171e-07	-2.12618e-07	0	187	5.65313e-07	-2.42258e-07	0	
188	5.36172e-07	-2.12619e-07	0	188	5.65313e-07	-2.42259e-07	0	
189	5.36172e-07	-2.12619e-07	0	189	5.65314e-07	-2.42259e-07	0	
190	5.36172e-07	-2.12619e-07	0	190	5.65314e-07	-2.42259e-07	0	
191	5.36173e-07	-2.1262e-07	0	191	5.65314e-07	-2.4226e-07	0	
192	5.36173e-07	-2.1262e-07	0	192	5.65315e-07	-2.4226e-07	0	
193	5.36173e-07	-2.1262e-07	0	193	5.65315e-07	-2.42261e-07	0	
194	5.36174e-07	-2.12621e-07	0	194	5.65315e-07	-2.42261e-07	0	
195	5.36174e-07	-2.12621e-07	0	195	5.65316e-07	-2.42261e-07	0	
196	5.36174e-07	-2.12621e-07	0	196	5.65316e-07	-2.42261e-07	0	
197	5.36174e-07	-2.12621e-07	0	197	5.65316e-07	-2.42262e-07	0	
198	5.36175e-07	-2.12622e-07	0	198	5.65316e-07	-2.42262e-07	0	
199	5.36175e-07	-2.12622e-07	0	199	5.65317e-07	-2.42262e-07	0	
200	5.36175e-07	-2.12622e-07	0	200	5.65317e-07	-2.42263e-07	0	
201	5.36175e-07	-2.12622e-07	0	201	5.65317e-07	-2.42263e-07	0	
202	5.36176e-07	-2.12622e-07	0	202	5.65317e-07	-2.42263e-07	0	
203	5.36176e-07	-2.12623e-07	0	203	5.65318e-07	-2.42263e-07	0	
204	5.36176e-07	-2.12623e-07	0	204	5.65318e-07	-2.42263e-07	0	
205	5.36176e-07	-2.12623e-07	0	205	5.65318e-07	-2.42264e-07	0	
206	5.36176e-07	-2.12623e-07	0	206	5.65318e-07	-2.42264e-07	0	
207	5.36176e-07	-2.12623e-07	0	207	5.65318e-07	-2.42264e-07	0	
208	5.36177e-07	-2.12623e-07	0	208	5.65318e-07	-2.42264e-07	0	
209	5.36177e-07	-2.12624e-07	0	209	5.65319e-07	-2.42264e-07	0	
210	5.36177e-07	-2.12624e-07	0	210	5.65319e-07	-2.42264e-07	0	
211	5.36177e-07	-2.12624e-07	0	211	5.65319e-07	-2.42265e-07	0	
212	5.36177e-07	-2.12624e-07	0	212	5.65319e-07	-2.42265e-07	0	
213	5.36177e-07	-2.12624e-07	0	213	5.65319e-07	-2.42265e-07	0	
214	5.36177e-07	-2.12624e-07	0	214	5.65319e-07	-2.42265e-07	0	
215	5.36177e-07	-2.12624e-07	0	215	5.65319e-07	-2.42265e-07	0	
216	5.36177e-07	-2.12624e-07	0	216	5.65319e-07	-2.42265e-07	0	
217	5.36178e-07	-2.12624e-07	0	217	5.6532e-07	-2.42265e-07	0	
218	5.36178e-07	-2.12625e-07	0	218	5.6532e-07	-2.42265e-07	0	
219	5.36178e-07	-2.12625e-07	0	219	5.6532e-07	-2.42265e-07	0	
220	5.36178e-07	-2.12625e-07	0	220	5.6532e-07	-2.42266e-07	0	
221	5.36178e-07	-2.12625e-07	0	221	5.6532e-07	-2.42266e-07	0	
222	5.36178e-07	-2.12625e-07	0	222	5.6532e-07	-2.42266e-07	0	
223	5.36178e-07	-2.12625e-07	0	223	5.6532e-07	-2.42266e-07	0	
224	5.36178e-07	-2.12625e-07	0	224	5.6532e-07	-2.42266e-07	0	
225	5.36178e-07	-2.12625e-07	0	225	5.6532e-07	-2.42266e-07	0	
226	5.36178e-07	-2.12625e-07	0	226	5.6532e-07	-2.42266e-07	0	
227	5.36178e-07	-2.12625e-07	0	227	5.6532e-07	-2.42266e-07	0	
228	5.36178e-07	-2.12625e-07	0	228	5.6532e-07	-2.42266e-07	0	
229	5.36178e-07	-2.12625e-07	0	229	5.6532e-07	-2.42266e-07	0	
230	5.36178e-07	-2.12625e-07	0	230	5.6532e-07	-2.42266e-07	0	
231	5.36178e-07	-2.12625e-07	0	231	5.6532e-07	-2.42266e-07	0	
232	5.36178e-07	-2.12625e-07	0	232	5.65321e-07	-2.42266e-07	0	
233	5.36178e-07	-2.12625e-07	0	233	5.65321e-07	-2.42266e-07	0	
234	5.36178e-07	-2.12625e-07	0	234	5.65321e-07	-2.42266e-07	0	
235	5.36179e-07	-2.12626e-07	0	235	5.65321e-07	-2.42266e-07	0	
236	5.36179e-07	-2.12626e-07	0	236	5.65321e-07	-2.42266e-07	0	
237	5.36179e-07	-2.12626e-07	0	237	5.65321e-07	-2.42267e-07	0	
238	5.36179e-07	-2.12626e-07	0	238	5.65321e-07	-2.42267e-07	0	
239	5.36179e-07	-2.12626e-07	0	239	5.65321e-07	-2.42267e-07	0	
240	5.36179e-07	-2.12626e-07	0	240	5.65321e-07	-2.42267e-07	0	
241	5.36179e-07	-2.12626e-07	0	241	5.65321e-07	-2.42267e-07	0	
242	5.36179e-07	-2.12626e-07	0	242	5.65321e-07	-2.42267e-07	0	
243	5.36179e-07	-2.12626e-07	0	243	5.65321e-07	-2.42267e-07	0	
244	5.36179e-07	-2.12626e-07	0	244	5.65321e-07	-2.42267e-07	0	
245	5.36179e-07	-2.12626e-07	0	245	5.65321e-07	-2.42267e-07	0	
246	5.36179e-07	-2.12626e-07	0	246	5.65321e-07	-2.42267e-07	0	
247	5.36179e-07	-2.12626e-07	0	247	5.65321e-07	-2.42267e-07	0	
248	5.36179e-07	-2.12626e-07	0	248	5.65321e-07	-2.42267e-07	0	
249	5.36179e-07	-2.12626e-07	0	249	5.65321e-07	-2.42267e-07	0	
250	5.36179e-07	-2.12626e-07	0	250	5.65321e-07	-2.42267e-07	0	
251	5.36179e-07	-2.12626e-07	0	251	5.65321e-07	-2.42267e-07	0	
252	5.36179e-07	-2.12626e-07	0	252	5.65321e-07	-2.42267e-07	0	
253	5.36179e-07	-2.12626e-07	0	253	5.65321e-07	-2.42267e-07	0	
254	5.36179e-07	-2.12626e-07	0	254	5.65321e-07	-2.42267e-07	0	
255	5.36179e-07	-2.12626e-07	0	255	5.65321e-07	-2.42267e-07	0	
256	5.36179e-07	-2.12626e-07	0	256	5.65321e-07	-2.42267e-07	0	
257	5.36179e-07	-2.12626e-07	0	257	5.65321e-07	-2.42267e-07	0	
258	5.36179e-07	-2.12626e-07	0	258	5.65321e-07	-2.42267e-07	0	
259	5.36179e-07	-2.12626e-07	0	259	5.65321e-07	-2.42267e-07	0	
260	5.36179e-07	-2.12626e-07	0	260	5.65321e-07	-2.42267e-07	0	
261	5.36179e-07	-2.12626e-07	0	261	5.65321e-07	-2.42267e-07	0	
262	5.36179e-07	-2.12626e-07	0	262	5.65321e-07	-2.42267e-07	0	
263	5.36179e-07	-2.12626e-07	0	263	5.65321e-07	-2.42267e-07	0	
264	5.36179e-07	-2.12626e-07	0	264	5.65321e-07	-2.42267e-07	0	
265	5.36179e-07	-2.12626e-07	0	265	5.65321e-07	-2.42267e-07	0	
266	5.36179e-07	-2.12626e-07	0	266	5.65321e-07	-2.42267e-07	0	
267	5.36179e-07	-2.12626e-07	0	267	5.65321e-07	-2.42267e-07	0	
268	5.36179e-07	-2.12626e-07	0	268	5.65321e-07	-2.42267e-07	0	
